City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
354,Cabra,ES,37.4725,-4.4421,81.18,30,0,4.63,clear sky
355,Fallon,US,39.4735,-118.7774,97.45,5,0,19.73,clear sky
356,Sitka,US,57.0531,-135.33,55.13,86,100,5.41,overcast clouds
357,Cap Malheureux,MU,-19.9842,57.6142,67.46,77,8,1.01,clear sky
358,Qianan,CN,44.9932,124.0581,76.17,71,10,6.67,clear sky
359,Torzhok,RU,57.0436,34.9622,57.67,80,8,3.15,clear sky
360,Pundaguitan,PH,6.3711,126.1689,82.85,74,52,7.36,broken clouds
361,Dunedin,NZ,-45.8742,170.5036,48.79,63,19,11.01,few clouds
362,Vitoria Da Conquista,BR,-14.8661,-40.8394,60.28,83,17,6.91,few clouds
363,Udachnyy,RU,66.4167,112.4,60.87,70,5,2.77,clear sky
364,San Cristobal,VE,7.7669,-72.225,66.76,96,63,2.3,broken clouds
365,Tokonou,GN,9.65,-9.7833,67.75,98,99,4.23,light rain
366,Beringovskiy,RU,63.05,179.3167,45.55,89,100,5.48,light rain
367,Puerto El Triunfo,SV,13.2833,-88.55,75.99,93,100,0.45,overcast clouds
368,Dongning,CN,44.0622,131.1207,67.95,93,95,1.41,overcast clouds
369,Hay River,CA,60.8156,-115.7999,65.52,55,94,8.75,overcast clouds
370,Mendi,PG,-6.1761,143.6513,66.47,60,16,2.15,few clouds
371,Ust-Tsilma,RU,65.441,52.1498,58.39,44,91,5.73,light rain
372,Lorengau,PG,-2.0226,147.2712,83.75,76,38,10.51,scattered clouds
373,Grand Baie,MU,-20.0182,57.5802,67.44,77,9,3.0,clear sky
374,Argentan,FR,48.75,-0.0167,59.58,97,99,6.17,overcast clouds
375,Monrovia,LR,6.3005,-10.7969,76.93,77,89,10.47,overcast clouds
376,Tabory,RU,58.5198,64.5495,50.34,87,51,4.63,broken clouds
377,Kamaishi,JP,39.2667,141.8833,75.92,91,35,3.47,scattered clouds
378,Porto Novo,BJ,6.4965,2.6036,75.18,86,94,6.78,overcast clouds
379,Kabare,CD,-2.4683,28.8242,64.45,64,69,1.7,broken clouds
380,Voh,NC,-20.9667,164.7,81.34,70,96,7.56,light rain
381,Quevedo,EC,-1.0333,-79.45,73.04,82,100,3.31,overcast clouds
382,Taltal,CL,-25.4,-70.4833,57.88,82,100,5.14,overcast clouds
383,Faya,SA,18.3851,42.4509,66.72,52,90,4.68,overcast clouds
384,Sterling,US,39.0062,-77.4286,90.16,62,0,7.0,clear sky
385,Ulaangom,MN,49.9811,92.0667,62.15,63,27,2.55,scattered clouds
386,Te Anau,NZ,-45.4167,167.7167,40.17,85,61,0.47,broken clouds
387,Yakeshi,CN,49.2833,120.7333,69.6,77,56,13.65,light rain
388,Menongue,AO,-14.6585,17.691,53.6,49,80,2.66,broken clouds
389,Barabash,RU,43.2,131.4833,64.47,97,100,3.65,overcast clouds
390,Egvekinot,RU,66.3167,-179.1667,37.76,87,100,8.77,light rain
391,Ofunato,JP,39.0717,141.7167,76.6,89,36,2.44,scattered clouds
392,San Pedro,PH,14.35,121.0167,86.32,74,62,5.68,broken clouds
393,Havoysund,NO,70.9963,24.6622,52.03,92,92,20.2,overcast clouds
394,Slonim,BY,53.0867,25.3219,63.54,84,1,7.0,clear sky
395,Narsaq,GL,60.9167,-46.05,55.62,78,38,4.25,scattered clouds
396,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,4.61,broken clouds
397,La Ronge,CA,55.1001,-105.2842,51.87,78,100,7.85,overcast clouds
398,Derzhavinsk,KZ,51.1,66.3167,61.48,68,67,3.56,broken clouds
399,Bainbridge,US,47.6262,-122.5212,79.83,57,0,5.75,clear sky
400,Kirakira,SB,-10.4544,161.9205,84.56,68,20,4.59,few clouds
401,Bhum,IN,18.4667,75.6667,71.92,87,100,11.25,overcast clouds
402,Santa Cruz Del Sur,CU,20.7147,-77.9956,80.28,82,37,15.59,scattered clouds
403,Yulara,AU,-25.2406,130.9889,61.92,30,5,7.99,clear sky
404,Lasa,IT,46.6166,10.7002,69.37,80,92,2.8,overcast clouds
405,Calvinia,ZA,-31.4707,19.776,49.1,48,100,4.68,overcast clouds
406,Soe,ID,-9.8607,124.284,66.42,67,81,4.59,broken clouds
407,The Valley,AI,18.217,-63.0578,82.09,73,0,20.51,clear sky
408,Tucuman,AR,-26.8241,-65.2226,59.0,77,41,3.44,smoke
409,Belmonte,BR,-15.8631,-38.8828,71.28,85,19,7.63,few clouds
410,Bamiantong,CN,44.9333,130.5333,68.31,82,16,4.63,few clouds
411,Jardim,BR,-21.4803,-56.1381,72.84,41,81,2.46,broken clouds
412,Bilibino,RU,68.0546,166.4372,47.21,54,23,6.29,few clouds
413,Bambanglipuro,ID,-7.95,110.2833,75.42,84,46,5.73,scattered clouds
414,Chokurdakh,RU,70.6333,147.9167,54.93,46,100,12.5,overcast clouds
415,Ludvika,SE,60.1496,15.1878,53.6,96,100,5.99,light rain
416,Cap-Aux-Meules,CA,47.3821,-61.8597,66.81,92,35,8.93,scattered clouds
417,Da Nang,VN,16.0678,108.2208,80.58,78,0,3.44,clear sky
418,Rock Sound,BS,24.9,-76.2,82.69,76,6,15.1,clear sky
419,Gaspe,CA,48.8334,-64.4819,66.78,90,44,1.74,scattered clouds
420,Dispur,IN,26.1425,91.7889,80.55,92,100,2.17,overcast clouds
421,Sindal,DK,57.4712,10.2031,60.53,88,87,6.82,overcast clouds
422,Yelovo,RU,57.0538,54.9207,59.27,89,44,3.85,scattered clouds
423,Kudahuvadhoo,MV,2.6708,72.8944,82.04,77,98,15.66,overcast clouds
424,Boende,CD,-0.2167,20.8667,69.85,97,100,2.42,overcast clouds
425,Kashi,CN,39.4547,75.9797,77.61,24,0,0.87,clear sky
426,Hirara,JP,24.8,125.2833,84.81,77,52,12.88,broken clouds
427,Quixada,BR,-4.9714,-39.0153,74.73,72,49,4.0,scattered clouds
428,Ardakan,IR,32.31,54.0175,88.3,14,0,3.91,clear sky
429,Sidi Ali,DZ,36.0998,0.4206,73.69,81,0,2.8,clear sky
430,Hualmay,PE,-11.0964,-77.6139,61.99,84,31,10.0,scattered clouds
431,Mama,RU,58.3106,112.8986,73.83,75,99,4.21,overcast clouds
432,Nouakchott,MR,18.0858,-15.9785,77.27,84,70,10.42,broken clouds
433,Pareora,NZ,-44.4871,171.2132,48.18,97,9,6.96,clear sky
434,Novikovo,RU,51.1537,37.8879,55.35,96,34,7.31,scattered clouds
435,Mazagao,BR,-0.115,-51.2894,84.25,78,91,3.89,overcast clouds
436,Hasaki,JP,35.7333,140.8333,86.29,73,0,16.17,clear sky
437,Bar Harbor,US,44.3876,-68.2039,76.46,71,0,6.91,clear sky
438,Kamalia,PK,30.7333,72.65,83.55,80,64,7.4,broken clouds
439,Abonnema,NG,4.7084,6.7931,75.7,89,100,5.35,overcast clouds
440,Bambamarca,PE,-6.6833,-78.5333,52.36,91,24,2.04,light rain
441,Kulhudhuffushi,MV,6.6221,73.07,81.46,78,100,17.38,overcast clouds
442,Nanning,CN,22.8167,108.3167,80.44,79,0,2.73,clear sky
443,Concordia,AR,-31.393,-58.0209,64.78,100,67,8.01,broken clouds
444,Chapais,CA,49.7834,-74.8492,67.5,60,77,10.56,broken clouds
445,Maceio,BR,-9.6658,-35.7353,74.79,84,96,10.51,overcast clouds
446,Inta,RU,66.0317,60.1659,42.37,85,78,7.05,broken clouds
447,Touros,BR,-5.1989,-35.4608,75.45,86,100,14.61,overcast clouds
448,Dauphin,CA,51.1494,-100.0502,72.1,70,77,0.74,broken clouds
449,Adeje,ES,28.1227,-16.726,72.88,78,40,28.77,scattered clouds
450,Viedma,AR,-40.8135,-62.9967,45.79,61,100,7.85,overcast clouds
451,Aasiaat,GL,68.7098,-52.8699,40.06,94,100,7.02,light rain
452,Lata,PT,40.1629,-8.3327,57.54,91,3,0.34,clear sky
453,Askino,RU,56.0901,56.5783,56.82,91,31,3.4,scattered clouds
454,Panuco,MX,22.05,-98.1667,86.18,56,28,16.44,scattered clouds
455,Kigoma,TZ,-4.8769,29.6267,73.4,57,2,2.55,clear sky
456,Manaus,BR,-3.1019,-60.025,77.68,79,32,3.2,scattered clouds
457,San Patricio,US,28.017,-97.5169,92.12,53,4,16.53,clear sky
458,Yar-Sale,RU,66.8333,70.8333,44.22,95,99,14.97,overcast clouds
459,Evensk,RU,61.95,159.2333,64.72,40,24,2.19,few clouds
460,Codrington,AU,-38.2667,141.9667,51.46,96,100,10.29,light rain
461,Victoria,HK,22.2855,114.1577,91.26,80,27,1.01,scattered clouds
462,Port Hardy,CA,50.6996,-127.4199,60.55,77,77,13.56,broken clouds
463,Fairbanks,US,64.8378,-147.7164,64.02,60,75,4.61,broken clouds
464,Kaeo,NZ,-35.1,173.7833,56.93,69,95,15.08,overcast clouds
465,Novyy Urengoy,RU,66.0833,76.6333,49.15,76,100,7.4,overcast clouds
466,Agrado,CO,2.2573,-75.7714,70.36,80,68,5.55,broken clouds
467,Anadyr,RU,64.75,177.4833,48.0,70,90,8.01,overcast clouds
468,Seoul,KR,37.5683,126.9778,76.39,66,96,2.91,overcast clouds
469,Nishihara,JP,26.1842,127.7558,87.46,84,75,11.5,broken clouds
470,Ust-Kuyga,RU,70.0167,135.6,73.2,47,25,2.71,scattered clouds
471,Nanortalik,GL,60.1432,-45.2371,46.11,83,37,1.74,scattered clouds
472,Walvis Bay,NA,-22.9575,14.5053,56.08,75,1,11.92,clear sky
473,San Rafael,AR,-34.6177,-68.3301,55.49,33,33,3.38,scattered clouds
474,Hobbs,US,32.7026,-103.136,93.67,26,44,10.0,scattered clouds
475,Armidale,AU,-30.5167,151.65,49.17,76,64,11.12,broken clouds
476,Gympie,AU,-26.1898,152.665,64.13,73,91,10.38,overcast clouds
