City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Barrow,US,71.2906,-156.7887,42.82,81,100,11.5,overcast clouds
80,Port Alfred,ZA,-33.5906,26.891,62.31,67,100,10.89,overcast clouds
81,Bluff,NZ,-46.6,168.3333,36.81,81,8,6.33,clear sky
82,Jamestown,US,42.097,-79.2353,82.04,47,0,13.8,clear sky
83,Kondinskoye,RU,59.6481,67.41,48.34,71,44,7.09,scattered clouds
84,Fortuna,US,40.5982,-124.1573,69.93,69,6,3.0,clear sky
85,Poum,NC,-20.2333,164.0167,76.57,84,98,20.45,overcast clouds
86,Kodiak,US,57.79,-152.4072,54.91,71,100,11.5,overcast clouds
87,Nikolskoye,RU,59.7035,30.7861,69.69,79,16,5.64,few clouds
88,Lavrentiya,RU,65.5833,-171.0,44.28,87,100,10.92,overcast clouds
89,Severo-Kurilsk,RU,50.6789,156.125,55.47,90,52,6.38,broken clouds
90,Hebi,CN,35.8992,114.1925,69.64,88,10,8.7,clear sky
91,Aviles,ES,43.5547,-5.9248,65.77,80,75,2.3,broken clouds
92,Manacor,ES,39.5696,3.2096,79.52,69,6,3.78,clear sky
93,Tasiilaq,GL,65.6145,-37.6368,37.56,73,34,7.94,scattered clouds
94,Leshukonskoye,RU,64.8989,45.7622,66.67,75,79,8.14,broken clouds
95,Clyde River,CA,70.4692,-68.5914,57.43,62,75,14.97,broken clouds
96,Puerto Escondido,MX,15.85,-97.0667,85.03,61,75,8.05,broken clouds
97,Katsuura,JP,35.1333,140.3,80.02,78,0,19.28,clear sky
98,Half Moon Bay,US,37.4636,-122.4286,91.89,76,0,19.57,haze
99,Souillac,MU,-20.5167,57.5167,66.58,100,75,10.36,light rain
100,Erenhot,CN,43.6475,111.9767,70.03,32,84,14.76,broken clouds
101,Coihaique,CL,-45.5752,-72.0662,24.75,86,40,4.61,scattered clouds
102,Klyuchevskiy,RU,53.5317,119.4519,68.09,73,38,4.45,scattered clouds
103,Carutapera,BR,-1.195,-46.02,77.36,86,55,6.51,broken clouds
104,Bud,US,39.447,-86.1758,91.89,53,33,2.26,scattered clouds
105,Kahului,US,20.8947,-156.47,87.82,60,20,21.85,few clouds
106,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,4.61,broken clouds
107,Ende,ID,-8.8432,121.6623,73.2,83,87,2.19,overcast clouds
108,Shvartsevskiy,RU,54.0961,37.9917,61.9,92,21,7.45,few clouds
109,Yulara,AU,-25.2406,130.9889,55.94,35,7,7.25,clear sky
110,Praxedis Guerrero,MX,31.3667,-106.0167,99.86,33,35,28.88,scattered clouds
111,Castro,BR,-24.7911,-50.0119,59.0,71,81,2.19,broken clouds
112,Ginir,ET,7.1333,40.7,58.32,70,90,8.41,overcast clouds
113,Santa Cruz,BO,-17.8,-63.1667,80.65,54,20,16.11,few clouds
114,Gat,IL,31.61,34.7642,77.68,100,1,1.61,clear sky
115,Port Elizabeth,ZA,-33.918,25.5701,58.32,80,0,9.22,clear sky
116,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,0,10.36,clear sky
117,Kijang,KR,35.2442,129.2139,76.73,84,25,5.12,scattered clouds
118,Tautira,PF,-17.7333,-149.15,75.83,78,19,8.52,few clouds
119,Port Keats,AU,-14.25,129.55,66.07,27,36,6.76,scattered clouds
120,Maniitsoq,GL,65.4167,-52.9,45.39,87,87,4.97,overcast clouds
121,Governador Valadares,BR,-18.8511,-41.9494,71.62,50,5,3.98,clear sky
122,Mehamn,NO,71.0357,27.8492,53.51,82,40,14.97,scattered clouds
123,Klaksvik,FO,62.2266,-6.589,50.92,84,100,7.49,overcast clouds
124,Bubaque,GW,11.2833,-15.8333,78.48,87,100,18.79,light rain
125,Thompson,CA,55.7435,-97.8558,59.16,77,100,6.91,overcast clouds
126,Gombong,ID,-7.6072,109.5142,73.76,90,100,3.2,overcast clouds
127,Homer,US,59.6425,-151.5483,57.07,68,0,14.97,clear sky
128,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,4.61,overcast clouds
129,Bakuriani,GE,41.7497,43.5325,49.87,99,100,2.53,overcast clouds
130,Saldanha,ZA,-33.0117,17.9442,53.65,89,100,8.86,light rain
131,Terra Santa,BR,-2.1042,-56.4869,78.44,75,61,1.19,broken clouds
132,Pimentel,PE,-6.8367,-79.9342,66.49,68,0,16.11,clear sky
133,Port-Gentil,GA,-0.7193,8.7815,75.16,83,75,10.36,broken clouds
134,Kavieng,PG,-2.5744,150.7967,82.6,76,28,10.49,light rain
135,Caravelas,BR,-17.7125,-39.2481,69.85,81,2,4.99,clear sky
136,Poya,NC,-21.35,165.15,77.65,82,93,7.11,overcast clouds
137,Carauari,BR,-4.8828,-66.8958,74.68,95,85,2.28,overcast clouds
138,Rio Gallegos,AR,-51.6226,-69.2181,35.65,75,0,19.57,clear sky
139,Bengkulu,ID,-3.8004,102.2655,75.02,87,80,4.36,broken clouds
140,Guaiba,BR,-30.1139,-51.325,70.57,90,100,5.75,light rain
141,Togur,RU,58.3631,82.8265,49.51,92,77,12.53,broken clouds
142,Talnakh,RU,69.4865,88.3972,65.21,52,50,3.87,scattered clouds
143,Vaini,TO,-21.2,-175.2,75.36,94,40,9.22,scattered clouds
144,Stromness,GB,58.965,-3.296,49.87,83,100,7.0,overcast clouds
145,Bella Union,UY,-30.2752,-57.6007,63.07,93,99,10.22,light rain
146,Catemaco,MX,18.4167,-95.1167,82.53,70,54,5.21,broken clouds
147,Basco,PH,20.4487,121.9702,85.12,74,35,8.34,scattered clouds
148,Geraldton,AU,-28.7667,114.6,52.21,87,75,14.97,broken clouds
149,Hasaki,JP,35.7333,140.8333,82.29,77,0,17.45,clear sky
150,Ferrol,ES,43.4832,-8.2369,64.27,82,0,10.2,clear sky
151,Quatre Cocos,MU,-20.2078,57.7625,66.31,79,17,13.69,few clouds
152,Ullapool,GB,57.8987,-5.1604,57.34,88,100,5.26,overcast clouds
153,Preobrazheniye,RU,42.9019,133.9064,63.25,93,99,6.71,overcast clouds
154,Mungwi,ZM,-10.1732,31.3694,53.6,73,26,3.78,scattered clouds
155,Norman Wells,CA,65.282,-126.8329,77.04,36,75,11.5,broken clouds
156,Qaanaaq,GL,77.484,-69.3632,37.9,94,100,7.99,light rain
157,Komsomolskiy,UZ,40.4272,71.7189,79.52,38,0,4.61,clear sky
158,College,US,64.8569,-147.8028,62.08,64,75,9.22,broken clouds
159,Cabo San Lucas,MX,22.8909,-109.9124,98.91,34,0,11.5,clear sky
160,Houston,US,29.7633,-95.3633,90.95,69,20,11.5,few clouds
161,Hobyo,SO,5.3505,48.5268,75.43,82,37,22.66,scattered clouds
162,Kaitangata,NZ,-46.2817,169.8464,40.3,86,13,2.84,few clouds
163,Pakxan,LA,18.3778,103.6601,73.11,97,100,1.86,overcast clouds
164,Dwarka,IN,22.2394,68.9678,81.77,83,79,21.03,broken clouds
165,Nantucket,US,41.2835,-70.0995,84.34,66,0,9.22,clear sky
166,Emborion,GR,40.4833,21.55,71.29,53,0,1.21,clear sky
167,Oudtshoorn,ZA,-33.5907,22.2014,48.56,65,100,1.43,overcast clouds
168,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,69,40,8.05,scattered clouds
169,Benghazi,LY,32.1167,20.0667,78.91,77,0,11.9,clear sky
